nohup: ignoring input
Experiment 4: adapt to gravity×1 on HalfCheetah-v5, 25 total runs, adapt_steps=100000, partition 5/6, device=cuda
[  56000 / 100000]  ep  56  reward(norm): -45.544  reward(raw): -45.5  len: 1000  time: 4.61s
[  57000 / 100000]  ep  57  reward(norm): -59.122  reward(raw): -59.1  len: 1000  time: 4.77s
[  58000 / 100000]  ep  58  reward(norm): -30.355  reward(raw): -30.4  len: 1000  time: 5.08s
[  59000 / 100000]  ep  59  reward(norm): 51.751  reward(raw): 51.8  len: 1000  time: 4.88s
[  60000 / 100000]  ep  60  reward(norm): 99.192  reward(raw): 99.2  len: 1000  time: 4.28s
[  61000 / 100000]  ep  61  reward(norm): -88.701  reward(raw): -88.7  len: 1000  time: 4.42s
[  62000 / 100000]  ep  62  reward(norm): 10.830  reward(raw): 10.8  len: 1000  time: 3.87s
[  63000 / 100000]  ep  63  reward(norm): -9.575  reward(raw): -9.6  len: 1000  time: 3.59s
[  64000 / 100000]  ep  64  reward(norm): 30.535  reward(raw): 30.5  len: 1000  time: 5.01s
[  65000 / 100000]  ep  65  reward(norm): -38.112  reward(raw): -38.1  len: 1000  time: 5.04s
[  66000 / 100000]  ep  66  reward(norm): -119.842  reward(raw): -119.8  len: 1000  time: 4.74s
[  67000 / 100000]  ep  67  reward(norm): -99.184  reward(raw): -99.2  len: 1000  time: 3.93s
[  68000 / 100000]  ep  68  reward(norm): 142.022  reward(raw): 142.0  len: 1000  time: 4.73s
[  69000 / 100000]  ep  69  reward(norm): -9.026  reward(raw): -9.0  len: 1000  time: 4.97s
[  70000 / 100000]  ep  70  reward(norm): -14.424  reward(raw): -14.4  len: 1000  time: 5.16s
[  71000 / 100000]  ep  71  reward(norm): -148.607  reward(raw): -148.6  len: 1000  time: 4.86s
[  72000 / 100000]  ep  72  reward(norm): -96.701  reward(raw): -96.7  len: 1000  time: 4.78s
[  73000 / 100000]  ep  73  reward(norm): -285.850  reward(raw): -285.9  len: 1000  time: 3.83s
[  74000 / 100000]  ep  74  reward(norm): -241.569  reward(raw): -241.6  len: 1000  time: 3.58s
[  75000 / 100000]  ep  75  reward(norm): -267.310  reward(raw): -267.3  len: 1000  time: 4.73s
[  76000 / 100000]  ep  76  reward(norm): -369.260  reward(raw): -369.3  len: 1000  time: 4.41s
[  77000 / 100000]  ep  77  reward(norm): -394.676  reward(raw): -394.7  len: 1000  time: 4.44s
[  78000 / 100000]  ep  78  reward(norm): -140.025  reward(raw): -140.0  len: 1000  time: 4.00s
